Amplitude,l,m,predicted,error,error percent
2.41E-10,-3.58E+11,-4.16E+11,-4.36E+11,4.63E-02,4.63E+00
2.41E-10,-3.72E+11,-3.93E+11,-3.89E+11,1.10E-02,1.10E+00
2.41E-10,-3.58E+11,-3.92E+11,-3.73E+11,5.17E-02,5.17E+00
2.41E-10,-3.58E+11,-3.85E+11,-3.81E+11,1.18E-02,1.18E+00
2.41E-10,-3.58E+11,-3.92E+11,-4.14E+11,5.52E-02,5.52E+00
2.41E-10,-3.40E+11,-3.92E+11,-3.89E+11,6.99E-03,6.99E-01
2.41E-10,-3.47E+11,-3.90E+11,-3.81E+11,2.39E-02,2.39E+00
2.41E-10,-3.58E+11,-4.17E+11,-4.44E+11,5.93E-02,5.93E+00
,,,,2.66E-01,2.20E+00
,,,,2.20E-02,
